filing_uuid,lobbyist_name,registrant,client,covered_position
https://lda.gov/api/v1/filings/d30bd81c-b7cb-4092-a98f-b6982f316711/,WILLIAM HOLLIER,HOLLIER & ASSOCIATES,MICROSOFT,"Chief of Staff, Senator Crapo"
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,ROBERT CHAMBERLIN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Chief Counsel, US Senate Commerce Committee; Senior Counsel, US Senate Commerce Committee; Assistant Counsel, House Transportation and Infrastructure Committee."
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,SAMUEL WHITEHORN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Deputy SD/GC, US Senate Commerce Committee; Acting SD, US Senate Commerce Committee; Sr. Counsel, US Senate Commerce Committee."
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,JEFFREY MARKEY,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"LD/Deputy Chief of Staff, Representative Doc Hastings."
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,BRET MANLEY,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Chief of Staff, Rep. Rodney Davis 19-22; Chief of Staff, Rep. Jeff Denham 17-18; Legislative Director, Rep. Jeff Denham 11-17; Financial Services Policy Advisor, Rep. Gary Miller 08-10; Legislative Correspondent, Rep. Gary Miller 07-08."
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,DAVID MARTEN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Legislative Director, Sen. Maria Cantwell; Legislative Assistant, Sen. Maria Cantwell; Legislative Assistant, Rep. Denny Heck; Legislative Correspondent, Rep. Denny Heck."
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,STEVE STOMBRES,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,JONATHAN SLEMROD,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,MANNY ROSSMAN,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,KYLE NEVINS,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
