filing_uuid,issue_code,registrant,client,issue_area,description,government_entities
https://lda.gov/api/v1/filings/d30bd81c-b7cb-4092-a98f-b6982f316711/,TAX,HOLLIER & ASSOCIATES,MICROSOFT,Taxation/Internal Revenue Code,"International tax, R&D Tax Credit, TCJA Reauthorization",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,COM,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Communications/Broadcasting/Radio/TV,Issues related to broadband mapping and deployment. Issues related to the Universal Service Fund. One Big Beautiful Bill Act (P.L. 119-21).,HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,ENV,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Environment/Superfund,Issues related to sustainability. Implementation of Inflation Reduction Act (P.L. 117-169). One Big Beautiful Bill Act (P.L. 119-21).,HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,TEC,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Telecommunications,"Warrant issues, general technology issues, artificial intelligence issues, facial recognition issues, data privacy issues, and broadband mapping. Issues related to online safety. Issues related to the Universal Service Fund. One Big Beautiful Bill Act (P.L. 119-21).",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,HOM,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Homeland Security,"General tech issues, privacy and cyber issues, encryption issues, data security issues, and online content issues. One Big Beautiful Bill Act (P.L. 119-21).",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,TRA,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Transportation,Implementation of the Infrastructure Investment and Jobs Act (P.L. 117-58). Implementation of the Inflation Reduction Act (P.L. 117-169). Issues related to the Federal Aviation Administration. Issues related to high-speed rail and federal funding. Issues related to the Corridor ID program. One Big Beautiful Bill Act (P.L. 119-21). Issues Related to Surface Transportation Reauthorization.,"Federal Aviation Administration (FAA); Federal Railroad Administration; HOUSE OF REPRESENTATIVES; SENATE; Transportation, Dept of (DOT)"
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,CPT,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Copyright/Patent/Trademark,"General tech issues, privacy and cyber issues, anti-trust issues. One Big Beautiful Bill Act (P.L. 119-21).",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,CSP,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Consumer Issues/Safety/Products,"Issues related to privacy, online content issues. Issues related to artificial intelligence. Issues related to Deepfakes. Issues relating to online safety. One Big Beautiful Bill Act (P.L. 119-21).",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,SCI,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Science/Technology,Issues related to artificial intelligence. One Big Beautiful Bill Act (P.L. 119-21).,HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/1769c7ac-1c9d-4430-8660-8f473bd390f3/,LBR,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,Labor Issues/Antitrust/Workplace,Issues related to AI and the workforce. One Big Beautiful Bill Act (P.L. 119-21).,HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,BUD,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,Budget/Appropriations,"Issues and funding related to Defense policy, Army modernization, and general issues related to the technology industry.",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/fc42259e-5b4f-455c-8db0-de44f7858a77/,DEF,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,Defense,"The FY2026 National Defense Authorization Act (H.R.3838/S.2296): issues related to the development of artificial intelligence, quantum computing, and general issues related to the technology industry.",HOUSE OF REPRESENTATIVES; SENATE
https://lda.gov/api/v1/filings/9825aa24-899b-4577-96b1-4c6d27bbf623/,TAX,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,Taxation/Internal Revenue Code,"Issues related to federal procurement of software and software services. Issues related to artificial intelligence development and deployment, including issues related to Executive Order 14179 (Removing Barriers to American Leadership in Artificial Intelligence). Issues related to the expiration of tax policies at the end of 2025 and Budget Reconciliation, including H.Con.Res. 14 (Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034).","Education, Dept of; Energy, Dept of; Executive Office of the President (EOP); General Services Administration (GSA); HOUSE OF REPRESENTATIVES; Justice, Dept of (DOJ); Office of Management & Budget (OMB); SENATE"
